,cast,title,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
12,"Shabana Azmi, Shreya Sharma, Adam Laupus, Adhir Bhat, Diksha Basu, Lethia Nall",A Decent Arrangement ,TV-14,1st July 2016            ,"A listless young Indian-American goes to India to find an arranged marriage. While there, he realizes his simple choice is more complex than he knew.",Sarovar Banka,1hr 37m,,"Romantic Comedies, Comedies, International Comedies",6.4/10,http://www.imdb.com/title/tt1704680/,https://art-s.nflximg.net/a521f/515e520fc5eeded9ffd42cc904a37c01046a521f.jpg,2.6/5,2011
13,"Jasmine Guy, Kadeem Hardison, Darryl M. Bell, Charnele Brown, Dawnn Lewis, Cree Summer, Lou Myers, Glynn Turman, Sinbad, Jada Pinkett Smith, Mary Alice, Lisa Bonet, Marisa Tomei, Ajai Sanders, Loretta Devine, Karen Malina White",A Different World ,TV-G,15th March 2015            ,"A spin-off of ""The Cosby Show,"" this sitcom set at the fictional Hillman College launched with Lisa Bonet reprising her role as Denise Huxtable. By the time Bonet left the show in the second season, the solid cast had come into its own.",,6 Seasons,23min                ,"Sitcoms, TV Programmes, TV Comedies",6.7/10,http://www.imdb.com/title/tt0092339/,https://art-s.nflximg.net/50aed/ad6ce0eb161a3ed700dffd320a285b2730250aed.jpg,4.1/5,1992
14,,A Drummer's Dream ,TV-14,1st April 2016            ,"At a music camp in Ontario, the world's most accomplished drummers mentor students in such diverse styles as rock, jazz, soul and fusion.",John Walker,1hr 24m,,"Music, Documentaries, Music & Concert Documentaries",8.1/10,http://www.imdb.com/title/tt1663970/,https://art-s.nflximg.net/9c2e6/64533065afeb7193684f1ee197771221f5d9c2e6.jpg,4.1/5,2010
15,"Colin Salmon, Fulvio Cecere, Karen LeBlanc, Rob deLeeuw, Michael Xavier, Chaz Kent, Dylan Smith, John Robinson, Sebastian Pigott, Amber Kent",A Family Man ,NR,7th January 2016            ,"In 1975, a hard-drinking Navy vet and former miner takes to gambling in a bid to finance his dream business: a drive-in movie theater in Africa.",Alfons Adetuyi,1hr 35m,,"Independent Dramas, Dramas, Independent Films",6.5/10,http://www.imdb.com/title/tt0330275/,https://art-s.nflximg.net/7fea0/f6272fb6540f4914cb64b7b4ef81b4ea7f67fea0.jpg,2.8/5,2011
16,"Simon Pegg, Amara Karan, Clare Higgins, Alan Drake, Paul Freeman, Jacqueline Chan, Michael Feast, Tamzin Griffin",A Fantastic Fear of Everything ,R,Unknown Date            ,"While researching a book on Victorian-era murderers, author Jack Nife comes to fear they're really stalking him and grows agoraphobic.","Crispian Mills, Chris Hopewell",1hr 40m,,"British Films, Independent Comedies, Independent Films, Comedies",5.9/10,http://www.imdb.com/title/tt2006040/,https://art-s.nflximg.net/b11f4/d1f85ace11c35b97dd683af2848d339eb27b11f4.jpg,3.5/5,2012
17,,A Faster Horse ,NR,1st February 2016            ,"To celebrate the Ford Mustang's 50th anniversary, an automotive engineer takes the beloved muscle car into the future while preserving its legacy.",David Gelb,1hr 24m,,Documentaries,6.9/10,http://www.imdb.com/title/tt3762974/,https://art-s.nflximg.net/80eaa/d9caae75048e4b81fec7417cdf2a178621f80eaa.jpg,4/5,2015
18,"Xavier Samuel, Kris Marshall, Kevin Bishop, Laura Brent, Tim Draxl, Rebel Wilson, Steve Le Marquand, Jonathan Biggins, Olivia Newton-John",A Few Best Men ,NR,5th May 2015            ,"A would-be groom sees his wedding day turn into a fiasco when his terminally pubescent best friends, a drug dealer and a male sheep enter the picture.",Stephan Elliott,1hr 37m,,"Australian Films, Independent Comedies, Late Night Comedies, Romantic Independent Films, Independent Films, Romantic Comedies, Romantic Films, Comedies",5.7/10,http://www.imdb.com/title/tt1640711/,https://art-s.nflximg.net/28228/d7cbfcff24ed37d6762abc80317dc85f26e28228.jpg,3.5/5,2011
19,,A Field Full of Secrets ,NR,1st April 2015            ,Two friends step into a crop circle. One emerges unaffected. The other decides to build a UFO with the help of an eccentric transsexual inventor.,Charles Maxwell,1hr 22m,,Documentaries,5.9/10,http://www.imdb.com/title/tt4247738/,https://art-s.nflximg.net/da08c/4d724a66209d05bcf7039c2dc26eb8608abda08c.jpg,3.1/5,2014
20,"Luke Perry, Leonor Varela, Armand Assante, Justin Baldoni, Cylk Cozart, Ashley Ann Vickers, Anna Claire Sneed, Oliver Macready",A Fine Step ,PG,24th September 2014            ,"After suffering an injury that jeopardizes his career, an expert horseman finds hope and healing through his friendship with a young neighbor girl.",Jonathan Meyers,1hr 51m,,"Family Features, Films for ages 11 to 12, Dramas, Children & Family Films, Family Dramas",5.2/10,http://www.imdb.com/title/tt1604100/,https://art-s.nflximg.net/e5397/9be0d397e13da48edff162d6da626402539e5397.jpg,3.9/5,2014
21,"Gérard Lanvin, Tchéky Karyo, Daniel Duval, Dimitri Storoge, Patrick Catalifo, François Levantal, Francis Renaud, Lionnel Astier",A Gang Story ,NR,Unknown Date            ,A retired gangster finds his now-peaceful life upended when his childhood friend -- and former partner in crime -- walks back into his life.,Olivier Marchal,1hr 42m,,"International Thrillers, Dramas based on a book, Crime Thrillers, Crime Dramas, International Dramas, Dramas, International Movies, Dramas based on contemporary literature, French Films, Thrillers, Dramas based on real life",http://www.imdb.com/title/tt2018031/,http://www.imdb.com/title/tt2018031/,https://art-s.nflximg.net/19ecf/d93c0e7d66a4febf9bd4f19960d80e5826319ecf.jpg,3.7/5,2011
