,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
10,40 Days and 40 Nights ,"Adam Trese, Josh Hartnett, Emmanuelle Vaugier, Paulo Costanzo, Shannyn Sossamon, Lorin Heath, Glenn Fitzgerald, Vinessa Shaw, Michael C. Maronna, Monet Mazur, Keegan Connor Tracy, Christine Chatelain, Aaron Trainor",R,1st July 2016            ,"When his girlfriend dumps him, a young stud swears off all sex for Lent -- but his abstinence is tested after he meets a beautiful, sexy woman.",Michael Lehmann,1hr 35m,,"Late Night Comedies, Romantic Comedies, Comedies",5.6/10,http://www.imdb.com/title/tt0243736/,https://art-s.nflximg.net/e2b36/746ddc2b5255713a96701343eb166b80264e2b36.jpg,3.2/5,2002
11,4th Man Out ,"Brooke Dillman, Kate Flannery, Parker Young, Chord Overstreet, Jon Gabrus, Evan Todd, Jake Epstein, Alex Rennie, Jennifer Damiano, Jordan Lane Price",NR,5th May 2016            ,"A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.",Andrew Nackman,1hr 26m,,"Gay & Lesbian Films, Comedies, Gay & Lesbian Comedies",6.7/10,http://www.imdb.com/title/tt3978720/,https://art-s.nflximg.net/d2a89/5115fed3b2cb226a5e809086b9e279683b7d2a89.jpg,4.1/5,2015
12,50 First Dates ,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin, Lusia Strus, Dan Aykroyd, Amy Hill, Allen Covert, Blake Clark, Maya Rudolph",PG-13,1st April 2015            ,"After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",Peter Segal,1hr 39m,,"Romantic Favourites, Romantic Comedies, Romantic Films, Comedies",6.8/10,http://www.imdb.com/title/tt0343660/,https://art-s.nflximg.net/dd52b/d96feda2114b700d844dd56fce9a67bc731dd52b.jpg,3.8/5,2004
13,7 Años de Matrimonio ,"Cristián de la Fuente, Víctor González, Roberto Palazuelos, Ximena Herrera, Yolanda Andrade, Alex Sirvent, Katherine Porto",NR,1st June 2016            ,"The closer Alberto and Ana get to their seven-year anniversary, the louder the opinions get on why their marriage is doomed to fail.",Joel Núñez,1hr 39m,,"Romantic Comedies, Comedies, International Comedies",4.8/10,http://www.imdb.com/title/tt2425542/,https://art-s.nflximg.net/b513b/614ab0995a3f9199adc95392e2944adc90fb513b.jpg,3.5/5,2013
14,7 Chinese Brothers ,"Olympia Dukakis, Stephen Root, Jason Schwartzman, Tunde Adebimpe, Jimmy Gonzales, Eleanore Pienta, John Gatins, Jonathan Togo, Alex Karpovsky, Grover Coulson, Chris Doubek, Josh Meyer, Ted Beck",NR,1st June 2016            ,"An apathetic slacker sponging off his grandmother drifts into another dead-end job, unaware that a monster crush is about to change his life.",Bob Byington,1hr 14m,,"Independent Comedies, Comedies, Independent Films",5.7/10,http://www.imdb.com/title/tt3488184/,https://art-s.nflximg.net/734cf/4b903d28ed60c2139670e9e50c9ed34d0db734cf.jpg,2.8/5,2015
15,A Case of You ,"Sam Rockwell, Vince Vaughn, Evan Rachel Wood, Justin Long, Sienna Miller, Keir O'Donnell, Brendan Fraser, Busy Philipps, Peter Dinklage",R,5th December 2015            ,"Nursing a secret crush on a cute coffee barista, a lowly writer sets out to become the man she desires -- by studying her Facebook profile.",Kat Coiro,1hr 31m,,"Romantic Comedies, Comedies, Independent Films",5.6/10,http://www.imdb.com/title/tt1817081/,https://art-s.nflximg.net/6bb9a/b1f32926ed59eee622b55cf8ec11f4043f56bb9a.jpg,3.3/5,2013
16,A Decent Arrangement ,"Shabana Azmi, Shreya Sharma, Adam Laupus, Adhir Bhat, Diksha Basu, Lethia Nall",TV-14,1st July 2016            ,"A listless young Indian-American goes to India to find an arranged marriage. While there, he realizes his simple choice is more complex than he knew.",Sarovar Banka,1hr 37m,,"Romantic Comedies, Comedies, International Comedies",6.4/10,http://www.imdb.com/title/tt1704680/,https://art-s.nflximg.net/a521f/515e520fc5eeded9ffd42cc904a37c01046a521f.jpg,2.6/5,2011
17,A Different World ,"Jasmine Guy, Kadeem Hardison, Darryl M. Bell, Charnele Brown, Dawnn Lewis, Cree Summer, Lou Myers, Glynn Turman, Sinbad, Jada Pinkett Smith, Mary Alice, Lisa Bonet, Marisa Tomei, Ajai Sanders, Loretta Devine, Karen Malina White",TV-G,15th March 2015            ,"A spin-off of ""The Cosby Show,"" this sitcom set at the fictional Hillman College launched with Lisa Bonet reprising her role as Denise Huxtable. By the time Bonet left the show in the second season, the solid cast had come into its own.",,6 Seasons,23min                ,"Sitcoms, TV Programmes, TV Comedies",6.7/10,http://www.imdb.com/title/tt0092339/,https://art-s.nflximg.net/50aed/ad6ce0eb161a3ed700dffd320a285b2730250aed.jpg,4.1/5,1992
18,A Fantastic Fear of Everything ,"Simon Pegg, Amara Karan, Clare Higgins, Alan Drake, Paul Freeman, Jacqueline Chan, Michael Feast, Tamzin Griffin",R,Unknown Date            ,"While researching a book on Victorian-era murderers, author Jack Nife comes to fear they're really stalking him and grows agoraphobic.","Crispian Mills, Chris Hopewell",1hr 40m,,"British Films, Independent Comedies, Independent Films, Comedies",5.9/10,http://www.imdb.com/title/tt2006040/,https://art-s.nflximg.net/b11f4/d1f85ace11c35b97dd683af2848d339eb27b11f4.jpg,3.5/5,2012
19,A Few Best Men ,"Xavier Samuel, Kris Marshall, Kevin Bishop, Laura Brent, Tim Draxl, Rebel Wilson, Steve Le Marquand, Jonathan Biggins, Olivia Newton-John",NR,5th May 2015            ,"A would-be groom sees his wedding day turn into a fiasco when his terminally pubescent best friends, a drug dealer and a male sheep enter the picture.",Stephan Elliott,1hr 37m,,"Australian Films, Independent Comedies, Late Night Comedies, Romantic Independent Films, Independent Films, Romantic Comedies, Romantic Films, Comedies",5.7/10,http://www.imdb.com/title/tt1640711/,https://art-s.nflximg.net/28228/d7cbfcff24ed37d6762abc80317dc85f26e28228.jpg,3.5/5,2011
