,title,cast,certificate,date added,description,director,duration,episode length,genre,imdb rating,imdb_url,img_src,netflix rating,year
139,Debra DiGiovanni: Single Awkward Female ,Debra DiGiovanni,TV-MA,2nd January 2016            ,Award-winning radio host and TV star Debra DiGiovanni headlines this hilarious stand-up special with her trademark brutal honesty.,Manny Rodriguez,51m,,"Comedies, Stand-up Comedy, Female Stand-up Comedy",5.2/10,http://www.imdb.com/title/tt2167729/,https://art-s.nflximg.net/90f8f/0c449864208d8001e81955df7d6ce228abd90f8f.jpg,3.6/5,2011
140,The Decoy Bride ,"David Tennant, Kelly Macdonald, Alice Eve, Michael Urie, Federico Castelluccio, Maureen Beattie, Dylan Moran, James Fleet, Sally Phillips, Hamish Clark",PG,Unknown Date            ,"When a Hollywood actress heads to a Scottish island to get married, her handlers must find a way to dupe the paparazzi after she flees in frustration.",Sheree Folkson,1hr 28m,,"British Films, Romantic Comedies, Comedies, Romantic Films",6.1/10,http://www.imdb.com/title/tt1657299/,https://art-s.nflximg.net/0cf92/294c30685314de1ab636a9d1b7949a9fb680cf92.jpg,3.6/5,2011
141,Dedh Ishqiya ,"Madhuri Dixit, Naseeruddin Shah, Arshad Warsi, Vijay Raaz, Manoj Pahwa, Huma Qureshi, Salman Shahid",NR,18th September 2015            ,"Two thieves vie to win betrothal to the beautiful widow of a local ruler and her assistant, pulling out all the stops ... including kidnapping.",Abhishek Chaubey,2hr 25m,,"Romantic Comedies, Comedies, International Comedies",7.3/10,http://www.imdb.com/title/tt2675978/,https://art-s.nflximg.net/230f0/9d32ab007be1a91d6346875f522b96712a0230f0.jpg,2.9/5,2014
142,Defending Your Life ,"Albert Brooks, Michael Durrell, James Eckhouse, Gary Beach, Julie Cobb, Peter Schuck, Lee Grant, Buck Henry, Shirley MacLaine, Meryl Streep, Rip Torn, Time Winters, Sharlie Stuart",PG,1st July 2016            ,"A yuppie dies and goes to Judgment City, where he meets his true love. But he must defend his life on Earth before he can ascend to heaven with her.",Albert Brooks,1hr 51m,,"Dark Comedies, Romantic Comedies, Comedies",7.3/10,http://www.imdb.com/title/tt0101698/,https://art-s.nflximg.net/5c478/f0f4fa495f67838db1ec2a72551443715665c478.jpg,3.5/5,1991
143,Delhi in a Day ,"Kulbhushan Kharbanda, Victor Banerjee, Lillete Dubey, Anjali Patil, Arun Mallick Kumar, Vidya Bhushan, Lee Williams, Dinesh Yadav",TV-14,1st June 2016            ,"After being accused of stealing money from an English houseguest, the Bhatia family servants have only 24 hours to replace the cash or face arrest.",Prashant Nair,1hr 28m,,"Dramas, Comedies, International Comedies",7.2/10,http://www.imdb.com/title/tt1725803/,https://art-s.nflximg.net/e564c/21542477d3a3ccab0045ee42e354b6aab7ae564c.jpg,3.2/5,2012
144,Delhi Safari ,"Jason Alexander, Cary Elwes, Brad Garrett, Christopher Lloyd, Jane Lynch, Vanessa Williams, Tara Strong, Tom Kenny, Carlos Alazraqui, Troy Baker",PG,Unknown Date            ,"Human encroachment is about to send the denizens of a wildlife reserve packing, until an anger-management-guru bear suggests diplomacy.",Nikhil Advani,1hr 36m,,"Family Adventures, Animal Tales, Family Features, Films for ages 11 to 12, Family Feature Animation, Children & Family Films, Family Comedies, Comedies",5.8/10,http://www.imdb.com/title/tt1172587/,https://art-s.nflximg.net/1ba0e/aed00400c2a5c84584237211d90e8a842d01ba0e.jpg,3.5/5,2012
145,The Delivery Man ,"Darren Boyd, Aisling Bea, Fay Ripley, Paddy McGuinness, Alex MacQueen, Llewella Gideon, Jennie Jacques",TV-14,1st August 2015            ,A cop who has become disheartened by life on the police force resigns and starts a new career as a midwife on a maternity ward.,,1 Season,22min                ,"Sitcoms, TV Programmes, British TV Programmes, TV Comedies, British TV Comedies",7.2/10,http://www.imdb.com/title/tt4610700/,https://art-s.nflximg.net/cdf12/a8b558d92f8e8e8fd7c2a6689fb5ae39a4bcdf12.jpg,3.7/5,2015
146,Demetri Martin: Live (At the Time) ,Demetri Martin,TV-MA,14th August 2015            ,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word ""nope"" to Washington in his original special.",Jay Karas,1hr 1m,,"Stand-up Comedy, Comedies",7.4/10,http://www.imdb.com/title/tt4512714/,https://art-s.nflximg.net/22c73/8a3b4e7ebd5b1816bcda5d6da6a88d991ec22c73.jpg,3.9/5,2015
147,Derek ,"Ricky Gervais, Karl Pilkington, Kerry Godliman, Margaret Towner, Tim Barlow, Brett Goldstein, David Earl, Ruth Bratt, Kay Noone, Arthur Nightingale, Sheila Collings, Barry Martin, Prem Modgil, Blanche Williams, Ninette Finch, Holli Dempsey",TV-14,15th September 2014            ,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home care worker who sees only the good in everyone.,,3 Seasons,24min                ,"Sitcoms, British TV Dramas, TV Programmes, British TV Programmes, TV Dramas, TV Comedies, British TV Comedies, TV Comedy Dramas",8.1/10,http://www.imdb.com/title/tt2616280/,https://art-s.nflximg.net/d59c0/88cda79af55abe87787fc8842c02cee959ad59c0.jpg,3.8/5,2015
148,Desk Set ,"Joan Blondell, Katharine Hepburn, Dina Merrill, Spencer Tracy, Gig Young, Sue Randall, Ida Moore, Neva Patterson, Rachel Stephens, Harry Ellerbe, Nicholas Joy, Diane Jergens, Merry Anders",NR,1st November 2015            ,A crack reference librarian at a television network resists the efforts of an efficiency expert when he tries to automate her research department.,Walter Lang,1hr 43m,,"Comedies, Classic Films, Classic Comedies",7.3/10,http://www.imdb.com/title/tt0050307/,https://art-s.nflximg.net/1bfe5/7837a840d88ac06b04a3d96ebbe396387a61bfe5.jpg,3.9/5,1957
149,Detectorists ,"Toby Jones, Rachael Stirling, Mackenzie Crook, Aimee-Ffion Edwards, Lucy Benjamin, Adam Riches",TV-MA,1st December 2015            ,Two quirky friends share a passion for metal detecting and a dream of unearthing Saxon treasure that they're certain is buried in a local farm field.,Mackenzie Crook,1 Season,28min                ,"TV Programmes, British TV Programmes, British TV Comedies",8.6/10,http://www.imdb.com/title/tt4082744/,https://art-s.nflximg.net/4a8ef/5f6d84fa7b5b0dc86d340c0936334f09eaa4a8ef.jpg,4.3/5,2014
150,Dial a Prayer ,"Brittany Snow, William H. Macy, Glenne Headly, Tom Lipinski, Kate Flannery, Rhonda Freya English, Cole Corey, Jesse Einstein",PG-13,27th July 2015            ,"Sentenced by a court to answer calls at a prayer hotline, a troubled teen discovers her chance at a new life -- if she can leave her past behind.",Maggie Kiley,1hr 37m,,"Independent Comedies, Dramas, Independent Films, Independent Dramas, Comedies",5.3/10,http://www.imdb.com/title/tt3593666/,https://art-s.nflximg.net/d6656/724412b9cd0c941bd684573a69ce5784a9dd6656.jpg,3.1/5,2015
151,The Dick Knost Show ,"Tom Scholte, Gabrielle Rose, Paul Skrudland, Jillian Fargey, Tom Butler, Alexandra Staseson, Qelsey Zeeper, David Lovgren, John Cassini, Zak Santiago, Laara Sadiq, Cam Cronin",NR,Unknown Date            ,"In this biting satire, a controversial sports-radio shock jock makes a social media gaffe and gives his bosses a reason to take him off the air.",Bruce Sweeney,1hr 29m,,"Sports Films, Independent Comedies, Sports Comedies, Independent Films, Canadian Films, Comedies",6.4/10,http://www.imdb.com/title/tt3106898/,https://art-s.nflximg.net/ed8fe/c83ee02c4467af304ee1f78626ea911cc3fed8fe.jpg,2/5,2013
152,The Dick Van Dyke Show ,"Mary Tyler Moore, Dick Van Dyke, Richard Deacon, Morey Amsterdam, Rose Marie, Larry Mathews, Carl Reiner, Jerry Paris, Ann Morgan Guilbert",TV-G,9th July 2016            ,TV comedy writer Rob Petrie has his hands full balancing a suburban home life with pretty wife Laura and his work days with wise-cracking office pals.,,5 Seasons,25min                ,"TV Programmes, TV Comedies, Classic TV Programmes",8.4/10,http://www.imdb.com/title/tt0054533/,https://art-s.nflximg.net/2cddd/15c0f7991d0db79c01bb1abbccf0ae1f3802cddd.jpg,3.8/5,1965
153,The Discoverers ,"Griffin Dunne, Madeline Martin, Cara Buono, John C. McGinley, Stuart Margolin, Devon Graye, David Rasche, Becky Ann Baker, Ann Dowd, Dreama Walker, Scott Adsit",NR,4th March 2015            ,A Chicago professor and his dysfunctional family unexpectedly join history buffs to retrace the steps of the Lewis and Clark expedition.,Justin Schwarz,1hr 44m,,"Independent Comedies, Independent Films, Comedies",5.6/10,http://www.imdb.com/title/tt1715876/,https://art-s.nflximg.net/8896d/27a317667319f1688e8cbb545a0cab0337a8896d.jpg,3.2/5,2012
154,Do Not Disturb ,"Hermione Baddeley, Doris Day, Reginald Gardiner, Rod Taylor, Sergio Fantoni, Maura McGiveney, Leon Askin, Albert Carrier, Aram Katcher",NR,2nd September 2015            ,"When Janet's businessman husband spends more time with his attractive secretary than with her, she invents a secret admirer.",Ralph Levy,1hr 42m,,"Comedies, Classic Films, Classic Comedies",5.9/10,http://www.imdb.com/title/tt0059112/,https://art-s.nflximg.net/c411f/4a6ba9a8fdb6e9efec4b8a67ad03d58e15cc411f.jpg,3.7/5,1965
155,The Do-Over ,"Adam Sandler, David Spade, Catherine Bell, Kathryn Hahn, Nick Swardson, Paula Patton, Sean Astin, Michael Chiklis, Natasha Leggero",TV-MA,27th May 2016            ,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,Steven Brill,1hr 48m,,"Action & Adventure, Comedies, Action Comedies",http://www.imdb.com/title/tt1836176/,http://www.imdb.com/title/tt1836176/,https://art-s.nflximg.net/0d919/283c04f519f4aca874c83b52864ac50dec50d919.jpg,4/5,2016
156,Doc Martin ,"Martin Clunes, Caroline Catz, Ian McNeice, Joe Absolom, Selina Cadell, Stephanie Cole, Stewart Wright",NR,15th November 2014            ,"Crippled by a sudden fear of blood, a curmudgeonly surgeon leaves his city practice to be a country doc in a seaside village populated by eccentrics.",,6 Seasons,46min                ,"British TV Dramas, Medical TV Dramas, TV Programmes, TV Dramas, British TV Programmes, TV Comedies, British TV Comedies, TV Comedy Dramas",8.3/10,http://www.imdb.com/title/tt0408381/,https://art-s.nflximg.net/9ff7b/611d376e6e72e3cd86f497589f6809115a69ff7b.jpg,4.2/5,2013
157,Documentary Now! ,"Helen Mirren, Fred Armisen, Bill Hader",TV-14,24th March 2016            ,"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line.""",,1 Season,21min                ,"Mockumentaries, TV Programmes, TV Comedies",8/10,http://www.imdb.com/title/tt4677934/,https://art-s.nflximg.net/57b22/aac0555fd3727d2ab4773c79030d97b770557b22.jpg,4/5,2015
158,Don Friesen: Ask Your Mom ,Don Friesen,TV-14,3rd January 2016            ,"Self-deprecating comic Don Friesen delivers the laughs in a big way in this fresh, frenetic stand-up special shot live in front of a packed house.",Scott L. Montoya,59m,,"Comedies, Stand-up Comedy",7.4/10,http://www.imdb.com/title/tt2153414/,https://art-s.nflximg.net/aaed9/301158c97263b45ebba51659c14e2577c55aaed9.jpg,3.8/5,2012
159,Eagle vs. Shark ,"Jemaine Clement, Loren Horsley, Rachel House, Joel Tobeck, Jackie van Beek, Brian Sergent",R,Unknown Date            ,"Oddball Jarrod is blind to awkward Lily's affection for him, until a plan to exact revenge on Jarrod's high school foe brings the misfits together.",Taika Waititi,1hr 27m,,"Independent Comedies, Quirky Romance, Romantic Independent Films, Independent Films, Romantic Comedies, Comedies, Romantic Films",6.8/10,http://www.imdb.com/title/tt0494222/,https://art-s.nflximg.net/e9748/75048004d678323ac4daa4974067dfbff7ee9748.jpg,3/5,2007
160,Eastsiders ,"Stephen Guarino, Van Hansis, Constance Wu, Kit Williamson, John Halbach, Matthew McKelligon",TV-MA,1st July 2016            ,Cal turns to his friends for help through a hilariously dark time when he discovers that his partner Thom's been cheating on him.,,2 Seasons,14min                ,"TV Programmes, TV Comedies, TV Dramas",5.5/10,http://www.imdb.com/title/tt2558816/,https://art-s.nflximg.net/cfc29/37d0d71bb26b7bbc2d10fcbe5593e8b211ccfc29.jpg,3.3/5,2015
161,Eat with Me ,"Sharon Omi, Teddy Chen Culver, Nicole Sullivan, George Takei, Aidan Bristow, Jamila Alina, Ken Narasaki, Scott Keiji Takeda, Burt Grinstead",NR,1st August 2015            ,A gay Chinese chef whose restaurant faces foreclosure tries to find new love with a blue-eyed Brit and acceptance from his newly separated mother.,David Au,1hr 35m,,"Gay & Lesbian Films, Dramas, Gay & Lesbian Dramas, Gay & Lesbian Comedies, Comedies",7.1/10,http://www.imdb.com/title/tt2274604/,https://art-s.nflximg.net/e959f/668e041b373c684ee943ab30ae73ec813bee959f.jpg,3.6/5,2014
162,Eddie Griffin: You Can Tell 'Em I Said It ,Eddie Griffin,TV-MA,Unknown Date            ,"The star of movies like Undercover Brother and Deuce Bigalow: Male Gigolo, comedian Eddie Griffin gets back into his comfort zone on the stage in this live Comedy Central stand-up special filmed in Oakland, Calif.",Jay Karas,1hr 22m,,"African-American Stand-up Comedy, Stand-up Comedy, Comedies",7.7/10,http://www.imdb.com/title/tt1772263/,https://art-s.nflximg.net/b8e44/0843bda40395e68f1765dbdfac146cf97dab8e44.jpg,4/5,2011
163,Eddie Murphy: Delirious ,Eddie Murphy,NR,Unknown Date            ,"Flashing the wild stand-up comedy that made him a household name, Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",Bruce Gowers,1hr 8m,,"African-American Stand-up Comedy, Stand-up Comedy, Comedies",8.3/10,http://www.imdb.com/title/tt0085474/,https://art-s.nflximg.net/1f38c/c52a64702d017d67e97d1eb6ca3171dc8df1f38c.jpg,4/5,1983
164,Eddie Pepitone: In Ruins ,Eddie Pepitone,NR,Unknown Date            ,"Eddie Pepitone delivers dark, raging humor in his hometown of Brooklyn, covering the perils of being a male model and the death of the American Dream.",Steven Feinartz,1hr 4m,,"Stand-up Comedy, Comedies",7.4/10,http://www.imdb.com/title/tt3974972/,https://art-s.nflximg.net/b2184/0df564d4fad718caf9ee2d2080dc8751fc4b2184.jpg,3.2/5,2014
165,Eight Crazy Nights ,"Kevin Nealon, Rob Schneider, Adam Sandler, Austin Stout, Norm Crosby, Jackie Sandler, Jon Lovitz, Cole Sprouse, Dylan Sprouse, Tyra Banks",PG-13,2nd January 2016            ,"When Davey finds himself in trouble for his hard partying, the judge orders him to serve as referee's assistant for the local teen basketball league.",Seth Kearsley,1hr 16m,,"Late Night Comedies, Comedies, Adult Animation",5.4/10,http://www.imdb.com/title/tt0271263/,https://art-s.nflximg.net/bd02e/96a50c5a237d95afd103609a02006dbaef1bd02e.jpg,3.7/5,2002
166,Eisenstein in Guanajuato ,"Elmer Back, Luis Alberti, Rasmus Slatis, Jakob Ohrman, José Montini, Cristina Velasco Lozano, Lisa Owen, Maya Zapata, Stelio Savante, Sara Juárez, Alaín Vargas",UR,10th May 2016            ,"In 1931, famed Soviet director Sergei Eisenstein's trip to make a film about Mexico's history becomes a journey of personal and creative awakening.",Peter Greenaway,1hr 45m,,"Romantic Comedies, Comedies, International Comedies",6.5/10,http://www.imdb.com/title/tt1702429/,https://art-s.nflximg.net/7c114/9a5f2ca05b3c57f884e0a6ad57afaa1a54f7c114.jpg,2.5/5,2015
167,El Crimen del Cácaro Gumaro ,"Jesús Ochoa, Alejandro Calva, Andrés Bustamante, Ana de la Reguera, Armando Vega Gil, Carlos Corona",R,1st July 2015            ,Two brothers start an all-out feud when one inherits the family home while the other gets the coveted family business: an old movie theater.,Emilio Portes,1hr 40m,,"International Comedies, Latin American Films, International Movies, Spoofs & Satires, Comedies",,,https://art-s.nflximg.net/58285/8705e4790da44bfc81736a722ea8597585258285.jpg,2.1/5,2014
168,El Hombre de al Lado ,"Daniel Araoz, Rafael Spregelburd, Eugenia Alonso, Inés Budassi, Lorena Acuna",NR,10th January 2016            ,"Leonardo, a famous designer, lives a quiet life with his family. But his life changes when a neighbor starts doing home improvements without a permit.","Mariano Cohn, Gastón Duprat",1hr 38m,,"Dramas, Comedies, International Comedies",6.5/10,http://www.imdb.com/title/tt0116546/,https://art-s.nflximg.net/5a6a5/002a2791b368a4c86938887678504628cd25a6a5.jpg,3/5,2009
169,El Santos vs. La Tetona Mendoza ,"Daniel Giménez Cacho, Regina Orozco, Irene Azuela, Bruno Bichir, Demián Bichir, Odiseo Bichir, Guillermo del Toro, Héctor Jiménez, Cheech Marin, José María Yazpik",NR,Unknown Date            ,"Depressed over his breakup with sexy wrestler La Tetona Mendoza, washed-up fighter El Santos starts a business that exploits a recent zombie invasion.","Alejandro Lozano, Andrés Couturier",1hr 36m,,"Adult Animation, International Action & Adventure, International Comedies, Latin American Films, Late Night Comedies, International Movies, Action Comedies, Action & Adventure, Comedies",6.3/10,http://www.imdb.com/title/tt2243275/,https://art-s.nflximg.net/0b02e/f5543ded88c2dfb7fda34f4f08bb8206eb50b02e.jpg,3/5,2012
170,El Secretario ,"Stephanie Cayo, Martín Karpan, Juan Pablo Espinosa, Andrea López, Fernando Solórzano, Margálida Castro, Fabián Mendoza, María Margarita Giraldo, Hillary Vergara, Helga Díaz",TV-14,1st July 2015            ,"When a 30-year-old man living in New York discovers that he has a daughter in Bogotá, he moves there and takes a job as a secretary.",,1 Season,44min                ,"TV Soaps, TV Programmes, TV Comedies, Spanish-Language TV Shows",7.9/10,http://www.imdb.com/title/tt2048219/,https://art-s.nflximg.net/96475/0cbacf93240755d314a39e825183c5a9e0b96475.jpg,3.4/5,2011
171,El viaje de la nonna ,"Rodrigo Murray, Ana Ofelia Murguía, Veronica Langer, Julio Bracho, Ximena Ayala, Martín Altomaro, Jorge Zárate, Alejandra Gollas, Cecilia Suárez, Ximena Rubio",NR,3rd October 2015            ,The increasingly forgetful Nonna wants to make the trip from Mexico to Italy so she can visit the birthplace of her beloved late husband.,Sebastián Silva,1hr 33m,,"Dramas, Comedies, International Comedies",6.6/10,http://www.imdb.com/title/tt0961210/,https://art-s.nflximg.net/4a839/a4fd0f483aca3cae87483ab3278bd59f1e94a839.jpg,3.3/5,2007
172,Elizabethtown ,"Orlando Bloom, Kirsten Dunst, Susan Sarandon, Alec Baldwin, Bruce McGill, Judy Greer, Jessica Biel, Paul Schneider, Loudon Wainwright III, Gailard Sartain, Jed Rees",PG-13,8th August 2015            ,"Fired from his job as a shoe designer, Drew tries to kill himself. But he gets a new lease on life when he returns to his hometown for a funeral.",Cameron Crowe,2hr 3m,,"Romantic Dramas, Dramas, Romantic Comedies, Comedies, Romantic Films",6.4/10,http://www.imdb.com/title/tt0368709/,https://art-s.nflximg.net/0f8be/5191fd0b2c59d25c5d6e7cde3b090dc01bb0f8be.jpg,3.3/5,2005
173,Elon Gold: Chosen and Taken ,Elon Gold,NR,Unknown Date            ,"With a manic wit that transcends race and religion, sharp-tongued comedian Elon Gold explores the ridiculous things people manage to get away with.",Jay Chapman,1hr,,"Stand-up Comedy, Comedies",7.1/10,http://www.imdb.com/title/tt2982306/,https://art-s.nflximg.net/3951a/8aedd199e2edfd2e5c8548480e9cbb4e0103951a.jpg,3.8/5,2014
174,"Emily Owens, M.D. ","Mamie Gummer, Justin Hartley, Aja Naomi King, Michael Rady, Necar Zadegan, Kelly McCreary, Harry Lennix",TV-14,Unknown Date            ,"In this medical drama series, klutzy intern Emily Owens discovers there's not much difference between working in a hospital and life in high school.",,1 Season,42min                ,"TV Programmes, Medical TV Dramas, TV Dramas, TV Comedies, TV Comedy Dramas",7.6/10,http://www.imdb.com/title/tt2290339/,https://art-s.nflximg.net/4170c/fb3e63c2572745cb313be62ed8c6006dadc4170c.jpg,4.2/5,2012
175,The Emperor's New Groove ,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Stephen J. Anderson, Eli Russell Linnetz, Bob Bergen, Rodger Bumpass, Tom Jones",G,Unknown Date            ,"In this animated Disney adventure, a South American emperor experiences a reversal of fortune when his power-hungry adviser turns him into a llama.",Mark Dindal,1hr 18m,,"Films for ages 5 to 7, Family Adventures, Family Features, Films for ages 8 to 10, Family Feature Animation, Children & Family Films, Family Comedies, Disney, Comedies",7.3/10,http://www.imdb.com/title/tt0120917/,https://art-s.nflximg.net/b9bcc/54e969d81d1023ae1e94750ef7603b9a0bbb9bcc.jpg,4/5,2000
176,Empty ,"Billy Boyd, Gregor Fisher",TV-14,15th December 2015            ,Property management employees Jacky and Tony discover the hidden lives of Glasgow residents behind closed doors in this comedy series.,,1 Season,28min                ,"TV Programmes, British TV Programmes, British TV Comedies",7.6/10,http://www.imdb.com/title/tt1205441/,https://art-s.nflximg.net/e32bc/e251931b8954581a0aa4648459763bed80fe32bc.jpg,2.6/5,2008
177,The English Teacher ,"Julianne Moore, Michael Angarano, Greg Kinnear, Lily Collins, Nathan Lane, Fiona Shaw, Norbert Leo Butz, Jessica Hecht, Charlie Saxton, Nikki Blonsky, Sophie Curtis",R,Unknown Date            ,"Devoted small-town English teacher Linda yearns for love. Enter Jason, a former student whose career as a Broadway playwright didn't pan out.",Craig Zisk,1hr 31m,,"Romantic Dramas, Independent Comedies, Dramas, Romantic Independent Films, Independent Films, Independent Dramas, Romantic Comedies, Comedies, Romantic Films",5.8/10,http://www.imdb.com/title/tt2055765/,https://art-s.nflximg.net/aaec1/1adf81d03a17cb3fdca422d463c052dd366aaec1.jpg,3.4/5,2013
178,Entertainment ,"Akshay Kumar, Prakash Raj, Johnny Lever, Sonu Sood, Krishna Abhishek, Tamannaah Bhatia, Mithun Chakraborty, Ritesh Deshmukh",NR,5th September 2015            ,"An underdog failing at life learns that he's the son of a millionaire who leaves his fortune to his dog, prompting madcap murder plots and mayhem.","Farhad, Sajid",2hr 19m,,"Comedies, Slapstick Comedies, International Comedies",4.7/10,http://www.imdb.com/title/tt2978626/,https://art-s.nflximg.net/d4f3f/51f6fef701807d0c7e1702597d3cf1a4422d4f3f.jpg,3/5,2014
179,Entertainment ,"John C. Reilly, Michael Cera, Gregg Turkington, Amy Seimetz, Lotte Verbeek, Tye Sheridan, Dean Stockwell, Tim Heidecker",R,24th March 2016            ,"A washed-up comic journeys to Los Angeles, where he dreams of finally making it big and reconciling with his estranged daughter.",Rick Alverson,1hr 42m,,"Independent Dramas, Dramas, Comedies",5.8/10,http://www.imdb.com/title/tt3343784/,https://art-s.nflximg.net/11228/adcfc95caeb1a351dcf17aaff8ae98664fd11228.jpg,2.7/5,2015
180,Ernest Saves Christmas ,"Jim Varney, Douglas Seale, Oliver Clark, Gailard Sartain, Bill Byrge, Noelle Parker, Billie Bird, Robert Lesser",PG,1st October 2014            ,"When Santa Claus decides to retire and pass on his magic bag of Christmas surprises to a new St. Nick, A perky teen runaway and hapless taxi driver Ernest P. Worrell must convince a skeptical kids-show host to take over the post of Father Christmas.",John R. Cherry III,1hr 31m,,"Films for ages 5 to 7, Slapstick Comedies, Family Features, Films for ages 8 to 10, Children & Family Films, Family Comedies, Comedies",5.5/10,http://www.imdb.com/title/tt0095107/,https://art-s.nflximg.net/e4849/bb1fdf3444e682d8525d07899b5750c7823e4849.jpg,3.7/5,1988
181,Esperando La Carroza ,"Luis Brandoni, Julio De Grazia, China Zorrilla, Monica Villa, Betiana Blum, Antonio Gasalla, Cecilia Rossetto, Juan Manuel Tenuta, Enrique Pinti, Andrea Tenuta",NR,10th January 2016            ,Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?,Alejandro Doria,1hr 35m,,"Spoofs & Satires, Comedies, International Comedies",2.9/10,http://www.imdb.com/title/tt1376780/,https://art-s.nflximg.net/29d7b/94ad922b0878e90b12c4c2438539382d6c529d7b.jpg,3.6/5,1985
182,Eternal Sunshine of the Spotless Mind ,"Jim Carrey, Kirsten Dunst, Tom Wilkinson, Elijah Wood, Kate Winslet, Mark Ruffalo, Thomas Jay Ryan, David Cross, Deirdre O'Connell, Jane Adams",R,1st June 2016            ,"After learning that his ex-girlfriend had an experimental medical procedure to purge all memories of him, a man decides to do the same with her.",Michel Gondry,1hr 47m,,"Dark Comedies, Romantic Comedies, Comedies",8.3/10,http://www.imdb.com/title/tt0338013/,https://art-s.nflximg.net/5a48a/4f2051a555414a8118fbff559140aa724025a48a.jpg,3.5/5,2004
183,Eugene Mirman: Vegan on His Way to the Complain Store ,Eugene Mirman,TV-14,15th July 2015            ,"Stand-up comedian Eugene Mirman takes his act to the Wild West, where he riffs on everything from Internet dating sites to bathroom signs.",Bobcat Goldthwait,1hr 4m,,"Stand-up Comedy, Comedies",7/10,http://www.imdb.com/title/tt4604642/,https://art-s.nflximg.net/d9891/b3fee02826139af492707677f2721982718d9891.jpg,3.8/5,2015
184,Everybody Loves Raymond ,"Ray Romano, Patricia Heaton, Brad Garrett, Doris Roberts, Peter Boyle, Madylin Sweeten, Sawyer Sweeten, Sullivan Sweeten, Monica Horan",TV-PG,Unknown Date            ,"Meet everyman sportswriter Ray Barone and his family, who get into all manner of situations seemingly designed to drive Ray crazy.",,9 Seasons,23min                ,"Sitcoms, TV Programmes, TV Comedies",7.1/10,http://www.imdb.com/title/tt0115167/,https://art-s.nflximg.net/5a82e/aa6c1ee9e23d3a6786cc61dda1ff0d2d57d5a82e.jpg,3.6/5,2004
185,Expelled ,"Cameron Dallas, Matt Shively, Lia Marie Johnson, Marcus Johns, Andrea Russett, Emilio Palame, Kristina Hayes, Teala Dunn",PG-13,1st February 2015            ,"After one of his more outrageous pranks gets him kicked out of high school, Felix resorts to extreme measures to keep his parents from finding out.",Alex Goyette,1hr 25m,,"Teen Comedies, Comedies",5/10,http://www.imdb.com/title/tt4189442/,https://art-s.nflximg.net/1d611/173030171e38e13db675b6c3274bca4a7991d611.jpg,3.8/5,2014
186,F Is for Family ,"Laura Dern, Sam Rockwell, Debi Derryberry, Justin Long, Bill Burr",TV-MA,18th December 2015            ,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",,1 Season,27min                ,"TV Programmes, Sitcoms, TV Comedies",8/10,http://www.imdb.com/title/tt4326894/,https://art-s.nflximg.net/1cc66/b8bad2fc065602dcca1e31f1dd82a48a9f61cc66.jpg,4.3/5,2015
187,Failure to Launch ,"Sarah Jessica Parker, Matthew McConaughey, Zooey Deschanel, Terry Bradshaw, Bradley Cooper, Justin Bartha, Kathy Bates, Katheryn Winnick, Tyrel Jackson Williams",PG-13,1st May 2016            ,"In a desperate attempt to push their thirtysomething son out of the nest, his frustrated parents hire a beautiful ""relationship consultant.""",Tom Dey,1hr 36m,,"Romantic Comedies, Comedies, Romantic Films",5.6/10,http://www.imdb.com/title/tt0427229/,https://art-s.nflximg.net/c172d/6250a7b63272893a81013a42b6075f053a3c172d.jpg,3.2/5,2006
188,Fairy Tail ,"Aya Hirano, Cherami Leigh, Tetsuya Kakihara, Todd Haberkorn, Akira Ishida, Brina Palencia, Daisuke Kishio, Eric Vale, Daisuke Namikawa, Robert McCollum",TV-14,Unknown Date            ,"When four young wizards team up to take jobs across the kingdom, they forge a bond more powerful than any magic and grow stronger with every mission.",,1 Season,24min                ,"Anime Series, TV Programmes, Anime Fantasies, Anime Comedies, Anime, Anime Action Films",8/10,http://www.imdb.com/title/tt1530718/,https://art-s.nflximg.net/462fa/20dda65bd63f5a9d738efd434d6912756f0462fa.jpg,4.5/5,2010
189,Family Fever ,"Peter Trabner, Jan Amazigh Sid, Jörg Witte, Kathrin Waligura, Deborah Kaufmann, Anais Urban",NR,1st July 2016            ,"It's the weekend straight from hell when Alina takes her folks to meet her boyfriend's parents, an event that just might bring a big secret to light.",Nico Sommer,1hr 14m,,"Dramas, Comedies, International Comedies",,,https://art-s.nflximg.net/26ad7/1fe9ddf174cd4230fe7dcd5ca2e175d1a8d26ad7.jpg,2.5/5,2014
